filter,T,noise,median_ms,snr_gain_db
F0,256,N1,0.001009997504297644,0.0
F0,256,N3,0.001519998477306217,0.0
F0,256,N4,0.001500004145782441,0.0
F0,1024,N1,0.001119995431508869,0.0
F0,1024,N3,0.0017799975466914475,0.0
F0,1024,N4,0.001729997165966779,0.0
F0,4096,N1,0.0016900012269616127,0.0
F0,4096,N3,0.009520001185592264,0.0
F0,4096,N4,0.0023899992811493576,0.0
F0,16384,N1,0.003730005118995905,0.0
F0,16384,N3,0.04128999717067927,0.0
F0,16384,N4,0.005289999535307288,0.0
F1,256,N1,0.031110001145862043,10.85462825273214
F1,256,N3,0.03298999945400283,12.774538446332517
F1,256,N4,0.034900003811344504,9.137364864158382
F1,1024,N1,0.037760000850539654,9.646100374868182
F1,1024,N3,0.04106099368073046,12.335155842912055
F1,1024,N4,0.04315000114729628,7.386426980755621
F1,4096,N1,0.06904999463586137,12.37556983882708
F1,4096,N3,0.07175000064307824,12.690297453608597
F1,4096,N4,0.0725900026736781,6.700114421662116
F1,16384,N1,0.1880209965747781,12.930357456646936
F1,16384,N3,0.19389999943086877,13.042545159509832
F1,16384,N4,0.1918600028147921,6.961250129533079
F2,256,N1,0.060860998928546906,8.352005815220052
F2,256,N3,0.062139995861798525,15.811289717664343
F2,256,N4,0.06274000043049455,12.641605550488666
F2,1024,N1,0.24480100546497852,8.405224747274044
F2,1024,N3,0.24752099852776155,17.605544648344562
F2,1024,N4,0.24436999956378713,12.037014683347074
F2,4096,N1,0.99476300238166,13.409514629083608
F2,4096,N3,0.9958539958461188,20.155422844723255
F2,4096,N4,0.9747639996930957,13.942118363319555
F2,16384,N1,3.9043950018822215,19.97087032709202
F2,16384,N3,3.8731449967599474,22.794975489048234
F2,16384,N4,3.83834500098601,13.03906217944519
F3,256,N1,0.14247999934013933,11.445081803872494
F3,256,N3,0.14321000344352797,11.222067780206322
F3,256,N4,0.1533009999548085,5.749707604476358
F3,1024,N1,0.1734609977575019,9.135033995829529
F3,1024,N3,0.18097000429406762,7.397304847460037
F3,1024,N4,0.18984099733643234,6.160620009990312
F3,4096,N1,0.25324099988210946,12.627440841338714
F3,4096,N3,0.26502100081415847,8.515243187163028
F3,4096,N4,0.2696310039027594,8.75548142473738
F3,16384,N1,0.51871200412279,18.64099315962635
F3,16384,N3,0.5244919957476668,4.7346231110559405
F3,16384,N4,0.530342003912665,4.190731664652278
F4,256,N1,0.08074999641394243,11.151053277797486
F4,256,N3,0.07955099863465875,13.233214418007147
F4,256,N4,0.08417999924859032,7.522385676323211
F4,1024,N1,0.09750999743118882,10.76989108200597
F4,1024,N3,0.10317099804524332,16.918858598103206
F4,1024,N4,0.10701999417506158,9.909346400816059
F4,4096,N1,0.1908510021166876,11.44606106451078
F4,4096,N3,0.1984899936360307,16.301341900142106
F4,4096,N4,0.20019100338686258,9.352333923676994
F4,16384,N1,0.564901994948741,11.37339287123788
F4,16384,N3,0.5686419972334988,17.90642342395612
F4,16384,N4,0.5894719943171367,10.963259565806228
F6,256,N1,0.21746099810115993,11.89009785553726
F6,256,N3,0.22460099717136472,5.158026370590629
F6,256,N4,0.23281099856831133,6.013487149655473
F6,1024,N1,0.26954100030707195,8.687304612565452
F6,1024,N3,0.2733709989115596,8.414448444002579
F6,1024,N4,0.289900999632664,6.230738748152257
F6,4096,N1,0.40703199920244515,12.628833384760211
F6,4096,N3,0.4249019984854385,6.985261950363048
F6,4096,N4,0.41731200326466933,6.0952786195088136
F6,16384,N1,0.8648630027892068,18.294435670420306
F6,16384,N3,0.9072339962585829,4.959614016488292
F6,16384,N4,0.8668629961903207,4.603723152851022
F7,256,N1,0.305010995361954,9.685275496620632
F7,256,N3,0.30154100386425853,14.52237143849202
F7,256,N4,0.315251003485173,7.341258257946843
F7,1024,N1,0.36659200122812763,10.27791847385003
F7,1024,N3,0.37857099960092455,17.4969136163388
F7,1024,N4,0.3840910067083314,7.934301640740239
F7,4096,N1,0.5683420022251084,11.65402167459174
F7,4096,N3,0.5677220033248886,17.73853723827193
F7,4096,N4,0.5729420008719899,8.634798543685044
F7,16384,N1,1.2637249965337105,12.680921081597022
F7,16384,N3,1.2578949972521514,21.708798435489918
F7,16384,N4,1.2478850039769895,9.11121132521414
F8,256,N1,13.060159995802678,10.161991815478729
F8,256,N3,0.4078519996255636,14.52838558556689
F8,256,N4,0.3922810064977966,7.6219931380887544
F8,1024,N1,32.910416994127445,10.23612945902137
F8,1024,N3,0.4686719985329546,15.116716510290292
F8,1024,N4,0.4753120010718703,8.94338172199816
F8,4096,N1,101.94565200072248,14.298250552520788
F8,4096,N3,0.7186229995568283,18.0620467762219
F8,4096,N4,0.7220730039989576,8.744103424506573
F8,16384,N1,329.1443259950029,17.617813462900152
F8,16384,N3,1.6192260009120218,20.414100026884007
F8,16384,N4,1.622836003662087,8.81102675080383
F5,256,N1,0.3435710023040883,11.321020759448796
F5,256,N3,0.34451199462637305,15.204664038905577
F5,256,N4,0.35842099896399304,9.140004742434975
F5,1024,N1,0.4893520017503761,11.973616624338815
F5,1024,N3,0.49175200547324494,15.404820174067007
F5,1024,N4,0.49791200581239536,9.44870794172147
F5,4096,N1,0.7292730006156489,12.328160039647278
F5,4096,N3,0.7456729945261031,16.986223850441615
F5,4096,N4,0.741853000363335,8.847596983917786
F5,16384,N1,2.4226690002251416,12.268334092286567
F5,16384,N3,2.4235289965872653,18.02754565126525
F5,16384,N4,2.4470799980917946,9.617349755659637
