noise,filter,seed,delta_snr_db
N1,F5_v1,0,11.86805370199479
N1,F5_v2,0,15.130805648464433
N1,F5_v1,1,12.235339696942006
N1,F5_v2,1,15.254572109733171
N1,F5_v1,2,12.02583655560702
N1,F5_v2,2,15.560514712339002
N1,F5_v1,3,12.457332491966108
N1,F5_v2,3,16.237903596008927
N1,F5_v1,4,12.141897423781293
N1,F5_v2,4,15.492287245337913
N1,F5_v1,5,12.33630456740979
N1,F5_v2,5,15.797620937028137
N1,F5_v1,6,12.757045373465408
N1,F5_v2,6,16.216209828905352
N1,F5_v1,7,12.15995596555094
N1,F5_v2,7,16.210260173873934
N1,F5_v1,8,12.164923237288678
N1,F5_v2,8,15.640638328665338
N1,F5_v1,9,12.656966188196556
N1,F5_v2,9,16.338028770401152
N2,F5_v1,0,5.68997065558452
N2,F5_v2,0,8.151158553769292
N2,F5_v1,1,6.553707131745526
N2,F5_v2,1,9.163628137327022
N2,F5_v1,2,5.412216541246545
N2,F5_v2,2,7.633054627524227
N2,F5_v1,3,6.997615336159593
N2,F5_v2,3,9.687811663389311
N2,F5_v1,4,6.608597040886433
N2,F5_v2,4,9.350349634254489
N2,F5_v1,5,6.190671427527081
N2,F5_v2,5,8.78906491709674
N2,F5_v1,6,6.806108622225263
N2,F5_v2,6,9.814346113711885
N2,F5_v1,7,6.253307055496554
N2,F5_v2,7,9.232987948578192
N2,F5_v1,8,5.466854064171353
N2,F5_v2,8,7.801979435625379
N2,F5_v1,9,6.812077515232684
N2,F5_v2,9,10.39595297124427
N3,F5_v1,0,16.877240281445356
N3,F5_v2,0,22.025899396729486
N3,F5_v1,1,17.385160257935958
N3,F5_v2,1,24.30022823940864
N3,F5_v1,2,18.219622379534158
N3,F5_v2,2,24.4809125856598
N3,F5_v1,3,15.781932139405729
N3,F5_v2,3,20.451030897200113
N3,F5_v1,4,17.291774267792075
N3,F5_v2,4,22.923588547973775
N3,F5_v1,5,16.677837885970774
N3,F5_v2,5,21.626613765281075
N3,F5_v1,6,17.452006171171465
N3,F5_v2,6,23.8809675145825
N3,F5_v1,7,15.964638181285913
N3,F5_v2,7,21.498860542743863
N3,F5_v1,8,16.596322396307784
N3,F5_v2,8,22.14441732428624
N3,F5_v1,9,16.294844539370832
N3,F5_v2,9,21.505835336234313
N4,F5_v1,0,9.469580193687483
N4,F5_v2,0,14.055176631817503
N4,F5_v1,1,8.409708930050652
N4,F5_v2,1,12.496635062964017
N4,F5_v1,2,8.759136606068319
N4,F5_v2,2,13.866464301146136
N4,F5_v1,3,8.59101513798633
N4,F5_v2,3,12.934054148115543
N4,F5_v1,4,8.61031628870224
N4,F5_v2,4,13.499935541123154
N4,F5_v1,5,9.540984030854979
N4,F5_v2,5,13.933975536334923
N4,F5_v1,6,9.538606941128892
N4,F5_v2,6,14.235559345723985
N4,F5_v1,7,10.267703017809506
N4,F5_v2,7,16.45657406464302
N4,F5_v1,8,9.38793714353857
N4,F5_v2,8,14.18244437352533
N4,F5_v1,9,9.748902349629763
N4,F5_v2,9,14.499272151601446
N5,F5_v1,0,15.65184292469745
N5,F5_v2,0,21.01817456724651
N5,F5_v1,1,17.137208554899832
N5,F5_v2,1,21.338495864160254
N5,F5_v1,2,15.336870356138105
N5,F5_v2,2,20.25014582916519
N5,F5_v1,3,16.101130821682847
N5,F5_v2,3,21.789220470947523
N5,F5_v1,4,14.416638249461334
N5,F5_v2,4,18.90495721943365
N5,F5_v1,5,16.410095920125492
N5,F5_v2,5,22.261338977186817
N5,F5_v1,6,14.739042832174107
N5,F5_v2,6,19.522867558886222
N5,F5_v1,7,15.561036267932886
N5,F5_v2,7,20.029316683609323
N5,F5_v1,8,18.570583122941507
N5,F5_v2,8,24.863170591324693
N5,F5_v1,9,16.746996816262133
N5,F5_v2,9,22.386696212927152
N6,F5_v1,0,13.785967282760613
N6,F5_v2,0,18.605944720375884
N6,F5_v1,1,13.697832596318111
N6,F5_v2,1,17.946328565309138
N6,F5_v1,2,14.373574796501691
N6,F5_v2,2,19.283428028652914
N6,F5_v1,3,16.32722811902763
N6,F5_v2,3,20.484065994569633
N6,F5_v1,4,14.165399126925491
N6,F5_v2,4,18.14405352058519
N6,F5_v1,5,14.074185713859869
N6,F5_v2,5,17.618682639622286
N6,F5_v1,6,14.157175240894222
N6,F5_v2,6,18.676684707486093
N6,F5_v1,7,14.371281473240655
N6,F5_v2,7,19.370954066063007
N6,F5_v1,8,14.860256928056671
N6,F5_v2,8,18.635999887984823
N6,F5_v1,9,14.521654429652921
N6,F5_v2,9,18.83714997548157
